B760,10.249.38.116,137A
b540,10.249.38.117,137B
adb0,10.249.38.118,137C
b4c0,10.249.38.119,137D
a820,10.249.38.126,138A
ae90,10.249.38.127,138B
ac30,10.249.38.128,138C
aa10,10.249.38.129,138D
b6c0,10.249.38.136,139A
be70,10.249.38.138,139B
9fd0,10.249.38.138,139C
b500,10.249.38.139,139D
ab60,10.249.38.146,140A
c070,10.249.38.147,140B
acf0,10.249.38.148,140C
b640,10.249.38.149,140D
aa20,10.249.38.156,141A
b480,10.249.38.157,141B
c320,10.249.38.158,141C
c420,10.249.38.159,141D
aa60,10.249.38.166,142A
a290,10.249.38.167,142B
aea0,10.249.38.168,142C
aa70,10.249.38.169,142D
ac40,10.249.38.176,143A
b4a0,10.249.38.177,143B
aa30,10.249.38.178,143C
b5a0,10.249.38.179,143D
B820,10.249.38.186,144A
C050,10.249.38.187,144B
bed0,10.249.38.188,144C
b660,10.249.38.189,144D
